Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
2597,Blue-gray Gnatcatcher,BGGN,Polioptila caerulea,"San Marcos Foothills, West Mesa",24-May-09,"Compton, D.",Fledgling out of Nest--Brancher,Coast Live Oak,3,pr and nest where 2 nestlings force-fledged (very short tails),Head of Hidden Cyn,34.4598896,-119.76663,10,147,,observer,-13332360.27,4090722.399258985
2603,Red-tailed Hawk,RTHA,Buteo jamaicensis,"San Marcos Foothills, Central",24-May-09,"Compton, D.",Nestling in Nest,Eucalyptus,20,nest with 1 fuzzy nestling,"With Keefe, H.  ",34.45532,-119.75719,50,89,,observer,-13331309.41,4090105.4705238575
2766,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, No-name Creek",7-May-10,"Harris, D.",Fledgling under Parental Care,,,adults with 6 or 8 golf-ball sized chix.,,34.45706,-119.7558,150,96,,,-13331154.68,4090340.3790083095
2959,Hutton's Vireo,HUVI,Vireo huttoni,"Santa Barbara, Cieneguitas Rd S of San Marcos Foothills",5-Mar-11,"Holmgren, M.",Carrying Nesting Material,,,Male tracking female carrying nest material to pepper tree in SB Church parking lot.,Not confirmed that it actually built nest.,34.45608,-119.76033,10,98,,,-13331658.95,4090208.073627625
3232,Northern Mockingbird,NOMO,Mimus polyglottos,"San Marcos Foothills, No-name Creek",25-Apr-99,"Holmgren, M.",Carrying Nesting Material,Coast Live Oak,,Adult carrying nest material to oak by wetland,entered 16 Feb 2016,34.46068,-119.75714,80,121,,San Marcos Foothills 25 April 1999.pdf,-13331303.84,4090829.112346335
3236,Cooper's Hawk,COHA,Accipiter cooperii,"San Marcos Foothills, Atascadero Ck",27-May-97,"Holmgren, M.",Carrying Food,,,carry food,,34.45847,-119.76037,200,103,,SMF field notes,-13331663.41,4090530.739
3237,Lesser Goldfinch,LEGO,Spinus psaltria,"San Marcos Foothills, Atascadero Ck",27-May-97,"Holmgren, M.",Fledgling under Parental Care,,,family of 4 juvs under care of adults,,34.45911,-119.76067,300,99,,SMF field notes,-13331696.8,4090617.145285429
3238,Wrentit,WREN,Chamaea fasciata,"San Marcos Foothills, Atascadero Ck",27-May-97,"Holmgren, M.",Carrying Nesting Material,,,carrying nest lining material,,34.4595,-119.76105,400,101,,SMF field notes,-13331739.1,4090669.799151402
3239,Bushtit,BUSH,Psaltriparus minimus,"San Marcos Foothills, Atascadero Ck",18-Apr-99,"Holmgren, M.",Carrying Nesting Material,California Sage,2,"ad carrying nesting material (white fluff), hence late in nest construction","With Ball, M.",34.46263,-119.75757,400,160,,San Marcos Foothills 18 Apr 1999.pdf,-13331351.71,4091092.3890866684
3240,Common Yellowthroat,COYE,Geothlypis trichas,"San Marcos Foothills, Cieneguitas Ck",18-Apr-99,"Holmgren, M.",Carrying Nesting Material,,,"f carrying nesting material  (large stick), hence in early nest construction","With Ball, M.",34.46019,-119.75377,400,109,,San Marcos Foothills 18 Apr 1999.pdf,-13330928.7,4090762.956593715
3241,Wrentit,WREN,Chamaea fasciata,"San Marcos Foothills, Cieneguitas Ck",18-Apr-99,"Holmgren, M.",Carrying Nesting Material,,,"carrying nesting material, nest not looked for","With Ball, M.",34.46014,-119.75377,400,109,,San Marcos Foothills 18 Apr 1999.pdf,-13330928.7,4090756.2060285434
3242,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",11-Apr-98,"Meisel, H.",Delivering Food to Nest or Cavity,pine,,"Food to nest, sounds of chirping and scratchy squeeks.","Cieneguitas Creek just downstream of property line, 1st of 2 successful nests by this pair. Their second nest was N closer to Antone Dr. On 18 May 1998, H. Meisel reports kites out of nest.",34.45548,-119.75424,25,89,,"Kite Histories 1998.docx, See also Atascadero Creek [SMF] 12 June 1998.pdf",-13330981.02,4090127.0710996804
3384,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, East",10-Feb-97,"Mumford, B.",Nestling in Nest,Coast Live Oak,,"2 nestling were flying, 2 were nest-bound; adults attending","On 28 May 1997, Sue Mumford swears she saw 5 babies. 3384 and 4371 are 2 separate nestings.",34.45778,-119.752,60,108,,"e-mail from Bryan Mumford to MAH, now Mumford Cieneguitas Kites May 1997.pdf",-13330731.66,4090437.5839509713
3510,White-tailed Kite,WTKI,Elanus leucurus,"San Marcos Foothills, Cieneguitas Ck",19-May-12,"Holmgren, M.",Nestling in Nest,Coast Live Oak,,We could scope into the nest from LaVista Road,"With O'Loghlen, A.  May have nested again at same site.",34.46218,-119.75446,15,123,,Kite Histories 2012.doc,-13331005.51,4091031.632370007
