,order,family,genus,species,diet,notes,habitat,forage_site
1,Cuculiformes,Cuculidae,Geococcyx,Geococcyx californianus,insectivore,,,
2,Passeriformes,Passerellidae,Ammodramus,Ammodramus savannarum,insectivore,,,
3,Passeriformes,Vireonidae,Vireo,Vireo huttoni,insectivore,,,
4,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis,insectivore,,,
5,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia atricapilla,herbivore,,,
6,Passeriformes,Passerellidae,Melospiza,Melospiza melodia,insectivore,,,
7,Passeriformes,Turdidae,Catharus,Catharus guttatus,omnivore,,,
8,Passeriformes,Passerellidae,Pipilo,Pipilo maculatus,insectivore,,,
9,Passeriformes,Parulidae,Geothlypis,Geothlypis trichas,insectivore,,,
10,Passeriformes,Fringillidae,Spinus,Spinus lawrencei,herbivore,,,
11,Piciformes,Picidae,Dryobates,Dryobates nuttallii,insectivore,,,
12,Passeriformes,Tyrannidae,Sayornis,Sayornis saya,insectivore,,,
13,Passeriformes,Mimidae,Mimus,Mimus polyglottos,omnivore,,,
14,Passeriformes,Turdidae,Sialia,Sialia mexicana,omnivore,,,
15,Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,carnivore,,,
16,Pelecaniformes,Ardeidae,Egretta,Egretta thula,piscivore,,,
17,Charadriiformes,Scolopacidae,Tringa,Tringa semipalmata,carnivore,,,
18,Charadriiformes,Scolopacidae,Actitis,Actitis macularius,carnivore,,,
19,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax,piscivore,,,
20,Falconiformes,Falconidae,Falco,Falco sparverius,insectivore,,,
21,Passeriformes,Tyrannidae,Tyrannus,Tyrannus verticalis,insectivore,,,
22,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus,omnivore,,,
23,Passeriformes,Corvidae,Corvus,Corvus brachyrhynchos,omnivore,,,
24,Accipitriformes,Accipitridae,Buteo,Buteo jamaicensis,carnivore,,,
25,Galliformes,Odontophoridae,Callipepla,Callipepla californica,herbivore,,,
26,Passeriformes,Mimidae,Toxostoma,Toxostoma redivivum,omnivore,,,
27,Columbiformes,Columbidae,Zenaida,Zenaida macroura,herbivore,,,
28,Piciformes,Picidae,Sphyrapicus,Sphyrapicus ruber,herbivore,,,
29,Passeriformes,Tyrannidae,Sayornis,Sayornis nigricans,insectivore,,,
30,Piciformes,Picidae,Melanerpes,Melanerpes formicivorus,herbivore,,,
31,Apodiformes,Trochilidae,Calypte,Calypte anna,herbivore,,,
32,Accipitriformes,Accipitridae,Buteo,Buteo lineatus,carnivore,,,
33,Passeriformes,Passerellidae,Melozone,Melozone crissalis,omnivore,,,
34,Passeriformes,Parulidae,Setophaga,Setophaga coronata,insectivore,,,
35,Passeriformes,Troglodytidae,Thryomanes,Thryomanes bewickii,insectivore,,,
36,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia leucophrys,omnivore,,,
37,Passeriformes,Sylviidae,Chamaea,Chamaea fasciata,omnivore,,,
38,Piciformes,Picidae,Colaptes,Colaptes auratus,insectivore,,,
39,Accipitriformes,Cathartidae,Cathartes,Cathartes aura,carnivore,,,
40,Columbiformes,Columbidae,Streptopelia,Streptopelia decaocto,herbivore,,,
41,Passeriformes,Corvidae,Aphelocoma,Aphelocoma californica,omnivore,,,
42,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,herbivore,,,
43,Passeriformes,Sittidae,Sitta,Sitta carolinensis,omnivore,,,
44,Passeriformes,Tyrannidae,Tyrannus,Tyrannus vociferans,insectivore,,,
45,Passeriformes,Icteridae,Sturnella,Sturnella neglecta,omnivore,,,
