X,Order,Family,Genus,Species,Common.Name,Diet,Introduced,Total.Observed
1,Accipitriformes,Accipitridae,Accipiter,Accipiter cooperii,Cooper's hawk,Carnivore,,161
2,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,Sharp-shinned hawk,Avivore,,35
3,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,Golden eagle,Carnivore,,1
4,Accipitriformes,Accipitridae,Buteo,Buteo jamaicensis,Red-tailed hawk,Carnivore,,559
5,Accipitriformes,Accipitridae,Buteo,Buteo lineatus,Red-shouldered hawk,Carnivore,,96
6,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Swainson's hawk,Carnivore,,4
7,Accipitriformes,Accipitridae,Circus,Circus cyaneus,Northern harrier,Carnivore,,149
8,Accipitriformes,Accipitridae,Elanus,Elanus leucurus,White-tailed kite,Carnivore,,142
9,Accipitriformes,Cathartidae,Cathartes,Cathartes aura,Turkey vulture,Carnivore,,352
10,Anseriformes,Anatidae,Anas,Anas platyrhynchos,Mallard,Herbivore,,4
11,Anseriformes,Anatidae,Anser,Anser albifrons,Greater white-fronted goose,Herbivore,,1
12,Anseriformes,Anatidae,Oxyura,Oxyura jamaicensis,Ruddy duck,Omnivore,,1
13,Apodiformes,Apodidae,Aeronautes,Aeronautes saxatalis,White-throated swift,Insectivore,,91
14,Apodiformes,Apodidae,Chaetura,Chaetura vauxi,Vaux's swift,Insectivore,,10
15,Apodiformes,Trochilidae,Archilochus,Archilochus alexandri,Black-chinned hummingbird,Herbivore,,7
16,Apodiformes,Trochilidae,Calypte,Calypte anna,Anna's hummingbird,Herbivore,,438
17,Apodiformes,Trochilidae,Calypte,Calypte costae,Costa's hummingbird,Herbivore,,6
18,Apodiformes,Trochilidae,Selasphorus,Selasphorus rufus,Rufous hummingbird,Herbivore,,1
19,Apodiformes,Trochilidae,Selasphorus,Selasphorus sasin,Allen's hummingbird,Herbivore,,52
20,Charadriiformes,Charadriidae,Charadrius,Charadrius vociferus,Killdeer,Carnivore,,3
21,Charadriiformes,Laridae,Larus,Larus occidentalis,Western gull,Omnivore,,3
22,Charadriiformes,Scolopacidae,Actitis,Actitis macularius,Spotted sandpiper,Carnivore,,1
23,Charadriiformes,Scolopacidae,Numenius,Numenius americanus,Long-billed curlew,Carnivore,,1
24,Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,Eurasian whimbrel,Carnivore,,1
25,Charadriiformes,Scolopacidae,Tringa,Tringa semipalmata,Willet,Carnivore,,1
26,Columbiformes,Columbidae,Columba,Columba livia,Rock dove,Herbivore,*,18
27,Columbiformes,Columbidae,Columbina,Columbina passerina,Common ground dove,Herbivore,,1
