"","order","family","genus","species"
"1","Cuculiformes","Cuculidae","Geococcyx","Geococcyx californianus"
"2","Passeriformes","Passerellidae","Ammodramus","Ammodramus savannarum"
"3","Passeriformes","Vireonidae","Vireo","Vireo huttoni"
"4","Passeriformes","Passerellidae","Passerculus","Passerculus sandwichensis"
"5","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia atricapilla"
"6","Passeriformes","Passerellidae","Melospiza","Melospiza melodia"
"7","Passeriformes","Turdidae","Catharus","Catharus guttatus"
"8","Passeriformes","Passerellidae","Pipilo","Pipilo maculatus"
"9","Passeriformes","Parulidae","Geothlypis","Geothlypis trichas"
"10","Passeriformes","Fringillidae","Spinus","Spinus lawrencei"
"11","Piciformes","Picidae","Dryobates","Dryobates nuttallii"
"12","Passeriformes","Tyrannidae","Sayornis","Sayornis saya"
"13","Passeriformes","Mimidae","Mimus","Mimus polyglottos"
"14","Passeriformes","Turdidae","Sialia","Sialia mexicana"
"15","Charadriiformes","Scolopacidae","Numenius","Numenius phaeopus"
"16","Pelecaniformes","Ardeidae","Egretta","Egretta thula"
"17","Charadriiformes","Scolopacidae","Tringa","Tringa semipalmata"
"18","Charadriiformes","Scolopacidae","Actitis","Actitis macularius"
"19","Pelecaniformes","Ardeidae","Nycticorax","Nycticorax nycticorax"
"20","Falconiformes","Falconidae","Falco","Falco sparverius"
"21","Passeriformes","Tyrannidae","Tyrannus","Tyrannus verticalis"
"22","Passeriformes","Icteridae","Agelaius","Agelaius phoeniceus"
"23","Passeriformes","Corvidae","Corvus","Corvus brachyrhynchos"
"24","Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis"
"25","Galliformes","Odontophoridae","Callipepla","Callipepla californica"
"26","Passeriformes","Mimidae","Toxostoma","Toxostoma redivivum"
"27","Columbiformes","Columbidae","Zenaida","Zenaida macroura"
"28","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber"
"29","Passeriformes","Tyrannidae","Sayornis","Sayornis nigricans"
"30","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus"
"31","Apodiformes","Trochilidae","Calypte","Calypte anna"
"32","Accipitriformes","Accipitridae","Buteo","Buteo lineatus"
"33","Passeriformes","Passerellidae","Melozone","Melozone crissalis"
"34","Passeriformes","Parulidae","Setophaga","Setophaga coronata"
"35","Passeriformes","Troglodytidae","Thryomanes","Thryomanes bewickii"
"36","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia leucophrys"
"37","Passeriformes","Sylviidae","Chamaea","Chamaea fasciata"
"38","Piciformes","Picidae","Colaptes","Colaptes auratus"
"39","Accipitriformes","Cathartidae","Cathartes","Cathartes aura"
"40","Columbiformes","Columbidae","Streptopelia","Streptopelia decaocto"
"41","Passeriformes","Corvidae","Aphelocoma","Aphelocoma californica"
"42","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus"
"43","Passeriformes","Sittidae","Sitta","Sitta carolinensis"
"44","Passeriformes","Tyrannidae","Tyrannus","Tyrannus vociferans"
"45","Passeriformes","Icteridae","Sturnella","Sturnella neglecta"
"46","Columbiformes","Columbidae","Patagioenas","Patagioenas fasciata"
"47","Apodiformes","Apodidae","Aeronautes","Aeronautes saxatalis"
"48","Apodiformes","Trochilidae","Selasphorus","Selasphorus sasin"
"49","Passeriformes","Laniidae","Lanius","Lanius ludovicianus"
"50","Passeriformes","Paridae","Baeolophus","Baeolophus inornatus"
"51","Passeriformes","Passerellidae","Chondestes","Chondestes grammacus"
"52","Apodiformes","Trochilidae","Calypte","Calypte costae"
"53","Passeriformes","Sturnidae","Sturnus","Sturnus vulgaris"
"54","Passeriformes","Passerellidae","Junco","Junco hyemalis"
"55","Passeriformes","Aegithalidae","Psaltriparus","Psaltriparus minimus"
"56","Passeriformes","Passerellidae","Aimophila","Aimophila ruficeps"
"57","Passeriformes","Turdidae","Turdus","Turdus migratorius"
"58","Passeriformes","Passerellidae","Spizella","Spizella passerina"
"59","Passeriformes","Fringillidae","Spinus","Spinus psaltria"
"60","Passeriformes","Estrildidae","Lonchura","Lonchura punctulata"
"61","Passeriformes","Polioptilidae","Polioptila","Polioptila caerulea"
"62","Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata"
"63","Passeriformes","Fringillidae","Spinus","Spinus tristis"
"64","Falconiformes","Falconidae","Falco","Falco columbarius"
"65","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos"
"66","Passeriformes","Parulidae","Setophaga","Setophaga townsendi"
"67","Piciformes","Picidae","Dryobates","Dryobates pubescens"
"68","Accipitriformes","Accipitridae","Elanus","Elanus leucurus"
"69","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii"
"70","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus"
"71","Columbiformes","Columbidae","Columba","Columba livia"
"72","Passeriformes","Corvidae","Corvus","Corvus corax"
"73","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica"
"74","Pelecaniformes","Ardeidae","Ardea","Ardea herodias"
"75","Passeriformes","Troglodytidae","Catherpes","Catherpes mexicanus"
"76","Passeriformes","Hirundinidae","Tachycineta","Tachycineta bicolor"
"77","Passeriformes","Ptilogonatidae","Phainopepla","Phainopepla nitens"
"78","Passeriformes","Hirundinidae","Tachycineta","Tachycineta thalassina"
"79","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon"
"80","Passeriformes","Hirundinidae","Stelgidopteryx","Stelgidopteryx serripennis"
"81","Passeriformes","Hirundinidae","Petrochelidon","Petrochelidon pyrrhonota"
"82","Passeriformes","Tyrannidae","Empidonax","Empidonax difficilis"
"83","Passeriformes","Icteridae","Icterus","Icterus cucullatus"
"84","Passeriformes","Cardinalidae","Piranga","Piranga ludoviciana"
"85","Passeriformes","Icteridae","Molothrus","Molothrus ater"
"86","Passeriformes","Cardinalidae","Passerina","Passerina amoena"
"87","Passeriformes","Vireonidae","Vireo","Vireo cassinii"
"88","Passeriformes","Parulidae","Cardellina","Cardellina pusilla"
"89","Passeriformes","Tyrannidae","Myiarchus","Myiarchus cinerascens"
"90","Passeriformes","Icteridae","Icterus","Icterus bullockii"
"91","Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus"
"92","Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum"
"93","Passeriformes","Tyrannidae","Contopus","Contopus sordidulus"
"94","Apodiformes","Apodidae","Chaetura","Chaetura vauxi"
"95","Passeriformes","Parulidae","Icteria","Icteria virens"
"96","Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri"
"97","Passeriformes","Vireonidae","Vireo","Vireo gilvus"
"98","Strigiformes","Strigidae","Bubo","Bubo virginianus"
"99","Strigiformes","Tytonidae","Tyto","Tyto alba"
