"","X","order","family","genus","species","diet","notes","habitat","forage_site"
"1",1,"Cuculiformes","Cuculidae","Geococcyx","Geococcyx californianus","insectivore",NA,NA,NA
"2",2,"Passeriformes","Passerellidae","Ammodramus","Ammodramus savannarum","insectivore",NA,NA,NA
"3",3,"Passeriformes","Vireonidae","Vireo","Vireo huttoni","insectivore",NA,NA,NA
"4",4,"Passeriformes","Passerellidae","Passerculus","Passerculus sandwichensis","insectivore",NA,NA,NA
"5",5,"Passeriformes","Passerellidae","Zonotrichia","Zonotrichia atricapilla","herbivore",NA,NA,NA
"6",6,"Passeriformes","Passerellidae","Melospiza","Melospiza melodia","insectivore",NA,NA,NA
"7",7,"Passeriformes","Turdidae","Catharus","Catharus guttatus","omnivore",NA,NA,NA
"8",8,"Passeriformes","Passerellidae","Pipilo","Pipilo maculatus","insectivore",NA,NA,NA
"9",9,"Passeriformes","Parulidae","Geothlypis","Geothlypis trichas","insectivore",NA,NA,NA
"10",10,"Passeriformes","Fringillidae","Spinus","Spinus lawrencei","herbivore",NA,NA,NA
"11",11,"Piciformes","Picidae","Dryobates","Dryobates nuttallii","insectivore",NA,NA,NA
"12",12,"Passeriformes","Tyrannidae","Sayornis","Sayornis saya","insectivore",NA,NA,NA
"13",13,"Passeriformes","Mimidae","Mimus","Mimus polyglottos","omnivore",NA,NA,NA
"14",14,"Passeriformes","Turdidae","Sialia","Sialia mexicana","omnivore",NA,NA,NA
"15",15,"Charadriiformes","Scolopacidae","Numenius","Numenius phaeopus","carnivore",NA,NA,NA
"16",16,"Pelecaniformes","Ardeidae","Egretta","Egretta thula","piscivore",NA,NA,NA
"17",17,"Charadriiformes","Scolopacidae","Tringa","Tringa semipalmata","carnivore",NA,NA,NA
"18",18,"Charadriiformes","Scolopacidae","Actitis","Actitis macularius","carnivore",NA,NA,NA
"19",19,"Pelecaniformes","Ardeidae","Nycticorax","Nycticorax nycticorax","piscivore",NA,NA,NA
"20",20,"Falconiformes","Falconidae","Falco","Falco sparverius","insectivore",NA,NA,NA
"21",21,"Passeriformes","Tyrannidae","Tyrannus","Tyrannus verticalis","insectivore",NA,NA,NA
"22",22,"Passeriformes","Icteridae","Agelaius","Agelaius phoeniceus","omnivore",NA,NA,NA
