,Order,Family,Geenus,Species,Common Name,Diet,Introduced
1,Accipitriformes,Accipitridae,Accipiter,Accipiter cooperii,Cooper's hawk,Carnivore,
2,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,Sharp-shinned hawk,Avivore,
3,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,Golden eagle,Carnivore,
4,Accipitriformes,Accipitridae,Buteo,Buteo jamaicensis,Red-tailed hawk,Carnivore,
5,Accipitriformes,Accipitridae,Buteo,Buteo lineatus,Red-shouldered hawk,Carnivore,
6,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Swainson's hawk,Carnivore,
7,Accipitriformes,Accipitridae,Elanus,Elanus leucurus,White-tailed kite,Carnivore,
8,Accipitriformes,Cathartidae,Cathartes,Cathartes aura,Turkey vulture,Carnivore,
9,Anseriformes,Anatidae,Anas,Anas platyrhynchos,Mallard,Herbivore,
10,Anseriformes,Anatidae,Anser,Anser albifrons,Greater white-fronted goose,Herbivore,
11,Anseriformes,Anatidae,Oxyura,Oxyura jamaicensis,Ruddy duck,Omnivore,
12,Apodiformes,Apodidae,Aeronautes,Aeronautes saxatalis,White-throated swift,Insectivore,
13,Apodiformes,Apodidae,Chaetura,Chaetura vauxi,Vaux's swift,Insectivore,
14,Apodiformes,Trochilidae,Archilochus,Archilochus alexandri,Black-chinned hummingbird,Herbivore,
15,Apodiformes,Trochilidae,Calypte,Calypte anna,Anna's hummingbird,Herbivore,
16,Apodiformes,Trochilidae,Calypte,Calypte costae,Costa's hummingbird,Herbivore,
17,Apodiformes,Trochilidae,Selasphorus,Selasphorus rufus,Rufous hummingbird,Herbivore,
18,Apodiformes,Trochilidae,Selasphorus,Selasphorus sasin,Allen's hummingbird,Herbivore,
19,Charadriiformes,Charadriidae,Charadrius,Charadrius vociferus,Killdeer,Carnivore,
20,Charadriiformes,Laridae,Larus,Larus occidentalis,Western gull,Omnivore,
21,Charadriiformes,Scolopacidae,Actitis,Actitis macularius,Spotted sandpiper,Carnivore,
22,Charadriiformes,Scolopacidae,Numenius,Numenius americanus,Long-billed curlew,Carnivore,
23,Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,Eurasian whimbrel,Carnivore,
24,Charadriiformes,Scolopacidae,Tringa,Tringa semipalmata,Willet,Carnivore,
25,Columbiformes,Columbidae,Columba,Columba livia,Rock dove,Herbivore,*
26,Columbiformes,Columbidae,Columbina,Columbina passerina,Common ground dove,Herbivore,
27,Columbiformes,Columbidae,Patagioenas,Patagioenas fasciata,Band-tailed pigeon,Herbivore,
28,Columbiformes,Columbidae,Streptopelia,Streptopelia decaocto,Eurasian collared dove,Herbivore,*
29,Columbiformes,Columbidae,Zenaida,Zenaida macroura,Mourning dove,Herbivore,
30,Cuculiformes,Cuculidae,Geococcyx,Geococcyx californianus,Roadrunner,Insectivore,
31,Falconiformes,Falconidae,Falco,Falco columbarius,Merlin,Avivore,
32,Falconiformes,Falconidae,Falco,Falco peregrinus,Peregrine falcon,Avivore,
33,Falconiformes,Falconidae,Falco,Falco sparverius,American kestrel,Insectivore,
34,Galliformes,Odontophoridae,Callipepla,Callipepla californica,California quail,Herbivore,
35,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,Wild turkey,Omnivore,
36,Passeriformes,Aegithalidae,Psaltriparus,Psaltriparus minimus,American bushtit,Insectivore,
37,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,Horned lark,Omnivore,
38,Passeriformes,Bombycillidae,Bombycilla,Bombycilla cedrorum,Cedar waxwing,Herbivore,
39,Passeriformes,Cardinalidae,Passerina,Passerina amoena,Lazuli bunting,Omnivore,
40,Passeriformes,Cardinalidae,Passerina,Passerina caerulea,Blue grosbeak,Insectivore,
41,Passeriformes,Cardinalidae,Pheucticus,Pheucticus melanocephalus,Black-headed grosbeak,Omnivore,
42,Passeriformes,Cardinalidae,Piranga,Piranga ludoviciana,Western tanager,Carnivore,
43,Passeriformes,Corvidae,Aphelocoma,Aphelocoma californica,California scrub jay,Omnivore,
44,Passeriformes,Corvidae,Corvus,Corvus brachyrhynchos,American crow,Omnivore,
45,Passeriformes,Corvidae,Corvus,Corvus corax,Common raven,Omnivore,
46,Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri,Steller's jay,Omnivore,
47,Passeriformes,Estrildidae,Lonchura,Lonchura punctulata,Scaly-breasted munia,Herbivore,*
48,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,House finch,Herbivore,
49,Passeriformes,Fringillidae,Haemorhous,Haemorhous purpureus,Purple finch,Omnivore,
50,Passeriformes,Fringillidae,Spinus,Spinus lawrencei,Lawrence's goldfinch,Herbivore,
51,Passeriformes,Fringillidae,Spinus,Spinus pinus,Pine siskin,Herbivore,
52,Passeriformes,Fringillidae,Spinus,Spinus psaltria,Lesser goldfinch,Herbivore,
53,Passeriformes,Fringillidae,Spinus,Spinus tristis,American goldfinch,Herbivore,
54,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica,Barn swallow,Insectivore,
55,Passeriformes,Hirundinidae,Petrochelidon,Petrochelidon pyrrhonota,Cliff swallow,Insectivore,
56,Passeriformes,Hirundinidae,Riparia,Riparia riparia,Bank swallow,Insectivore,
57,Passeriformes,Hirundinidae,Stelgidopteryx,Stelgidopteryx serripennis,Northern rough-winged swallow,Insectivore,
58,Passeriformes,Hirundinidae,Tachycineta,Tachycineta bicolor,Tree swallow,Omnivore,
59,Passeriformes,Hirundinidae,Tachycineta,Tachycineta thalassina,Violet-green swallow,Insectivore,
60,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus,Red-winged blackbird,Omnivore,
61,Passeriformes,Icteridae,Euphagus,Euphagus cyanocephalus,Brewer's blackbird,Omnivore,
62,Passeriformes,Icteridae,Icterus,Icterus bullockii,Bullock's oriole,Omnivore,
63,Passeriformes,Icteridae,Icterus,Icterus cucullatus,Hooded oriole,Omnivore,
64,Passeriformes,Icteridae,Molothrus,Molothrus ater,Brown-headed cowbird,Herbivore,
65,Passeriformes,Icteridae,Sturnella,Sturnella neglecta,Western meadowlark,Omnivore,
66,Passeriformes,Laniidae,Lanius,Lanius ludovicianus,Loggerhead shrike,Carnivore,
67,Passeriformes,Mimidae,Mimus,Mimus polyglottos,Northern mockingbird,Omnivore,
68,Passeriformes,Mimidae,Toxostoma,Toxostoma redivivum,California thrasher,Omnivore,
69,Passeriformes,Motacillidae,Anthus,Anthus rubescens,American pipit,Omnivore,
70,Passeriformes,Paridae,Baeolophus,Baeolophus inornatus,Oak titmouse,Omnivore,
71,Passeriformes,Paridae,Poecile,Poecile gambeli,Mountain chickadee,Herbivore,
72,Passeriformes,Parulidae,Cardellina,Cardellina pusilla,Wilson's warbler,Insectivore,
73,Passeriformes,Parulidae,Geothlypis,Geothlypis trichas,Common yellowthroat,Insectivore,
74,Passeriformes,Parulidae,Icteria,Icteria virens,Yellow-breasted chat,Omnivore,
75,Passeriformes,Parulidae,Leiothlypis,Leiothlypis celata,Orange-crowned warbler,Herbivore,
76,Passeriformes,Parulidae,Leiothlypis,Leiothlypis ruficapilla,Nashville warbler,Insectivore,
77,Passeriformes,Parulidae,Setophaga,Setophaga coronata,Yellow-rumped warbler,Insectivore,
78,Passeriformes,Parulidae,Setophaga,Setophaga nigrescens,Black-throated gray warbler,Insectivore,
79,Passeriformes,Parulidae,Setophaga,Setophaga occidentalis,Hermit warbler,Insectivore,
80,Passeriformes,Parulidae,Setophaga,Setophaga petechia,Yellow warbler,Insectivore,
81,Passeriformes,Parulidae,Setophaga,Setophaga townsendi,Townsend's warbler,Insectivore,
82,Passeriformes,Passerellidae,Aimophila,Aimophila ruficeps,Rufous-crowned sparrow,Omnivore,
83,Passeriformes,Passerellidae,Ammodramus,Ammodramus savannarum,Grasshopper sparrow,Insectivore,
84,Passeriformes,Passerellidae,Chondestes,Chondestes grammacus,Lark sparrow,Herbivore,
85,Passeriformes,Passerellidae,Junco,Junco hyemalis,Dark-eyed junco,Insectivore,
