"","Species","Common.Name","Code","total"
"1","Accipiter cooperii","Cooper's hawk","COHA",2
"2","Aimophila ruficeps","Rufous-crowned sparrow","RCSP",7
"3","Ammodramus savannarum","Grasshopper sparrow","GRSP",10
"4","Aphelocoma californica","California scrub-jay","CASJ",5
"5","Archilochus alexandri","Black-chinned hummingbird","BCHU",1
"6","Baeolophus inornatus","Oak titmouse","OATI",1
"7","Buteo jamaicensis","Red-tailed hawk","RTHA",26
"8","Callipepla californica","California quail","CAQU",6
"9","Calypte anna","Anna's hummingbird","ANHU",2
"10","Chamaea fasciata","Wrentit","WREN",5
"11","Chondestes grammacus","Lark sparrow","LASP",8
"12","Colaptes auratus","Northern flicker","NOFL",1
"13","Corvus corax","Common raven","CORA",3
"14","Corvus brachyrhynchos","American crow","AMCR",1
"15","Dryobates nuttallii","Nuttall's woodpecker","NUWO",4
"16","Elanus leucurus","White-tailed kite","WTKI",15
"17","Empidonax difficilis","Pacific-slope flycatcher","PSFL",1
"18","Euphagus cyanocephalus","Brewer's blackbird","BRBL",1
"19","Falco sparverius","American kestrel","AMKE",5
"20","Geococcyx californianus","Greater roadrunner","GRRO",2
"21","Geothlypis trichas","Common yellowthroat","COYE",2
"22","Haemorhous mexicanus","House finch","HOFI",1
"23","Icterus cucullatus","Hooded oriole","HOOR",4
"24","Lonchura punctulata","Scaly-breasted munia","SBMU",1
"25","Megascops kennicottii","Western screech-owl","WESO",1
"26","Melanerpes formicivorus","Acorn woodpecker","ACWO",1
"27","Melospiza melodia","Song sparrow","SOSP",5
"28","Melozone crissalis","California towhee","CALT",1
"29","Mimus polyglottos","Northern mockingbird","NOMO",10
"30","Myiarchus cinerascens","Ash-throated flycatcher","ATFL",6
"31","Passer domesticus","House sparrow","HOSP",1
"32","Passerina amoena","Lazuli bunting","LAZB",2
"33","Petrochelidon pyrrhonota","Cliff swallow","CLSW",2
"34","Phainopepla nitens","Phainopepla","PHAI",8
"35","Polioptila caerulea","Blue-gray gnatcatcher","BGGN",3
"36","Psaltriparus minimus","Bushtit","BUSH",6
"37","Sayornis nigricans","Black phoebe","BLPH",1
"38","Sayornis saya","Say's phoebe","SAPH",3
"39","Sialia mexicana","Western bluebird","WEBL",2
"40","Sitta carolinensis","White-breasted nuthatch","WBNU",1
"41","Spinus psaltria","Lesser goldfinch","LEGO",4
"42","Sturnus vulgaris","European starling","EUST",3
"43","Thryomanes bewickii","Bewick's wren","BEWR",1
"44","Troglodytes aedon","House wren","HOWR",5
"45","Tyrannus verticalis","Western kingbird","WEKI",4
"46","Tyrannus vociferans","Cassin's kingbird","CAKI",1
"47","Vireo huttoni","Hutton's vireo","HUVI",2
"48","Zenaida macroura","Mourning dove","MODO",3
