Order,Family,Genus,Species,Common Name,Diet,Introduced
Accipitriformes,Accipitridae,Accipiter,Accipiter cooperii,Cooper's hawk,Carnivore,
Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,Sharp-shinned hawk,Avivore,
Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,Golden eagle,Carnivore,
Accipitriformes,Accipitridae,Buteo,Buteo jamaicensis,Red-tailed hawk,Carnivore,
Accipitriformes,Accipitridae,Buteo,Buteo lineatus,Red-shouldered hawk,Carnivore,
Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,Swainson's hawk,Carnivore,
Accipitriformes,Accipitridae,Circus,Circus cyaneus,Northern harrier,Carnivore,
Accipitriformes,Accipitridae,Elanus,Elanus leucurus,White-tailed kite,Carnivore,
Accipitriformes,Cathartidae,Cathartes,Cathartes aura,Turkey vulture,Carnivore,
Anseriformes,Anatidae,Anas,Anas platyrhynchos,Mallard,Herbivore,
Anseriformes,Anatidae,Anser,Anser albifrons,Greater white-fronted goose,Herbivore,
Anseriformes,Anatidae,Oxyura,Oxyura jamaicensis,Ruddy duck,Omnivore,
Apodiformes,Apodidae,Aeronautes,Aeronautes saxatalis,White-throated swift,Insectivore,
Apodiformes,Apodidae,Chaetura,Chaetura vauxi,Vaux's swift,Insectivore,
Apodiformes,Trochilidae,Archilochus,Archilochus alexandri,Black-chinned hummingbird,Herbivore,
Apodiformes,Trochilidae,Calypte,Calypte anna,Anna's hummingbird,Herbivore,
Apodiformes,Trochilidae,Calypte,Calypte costae,Costa's hummingbird,Herbivore,
Apodiformes,Trochilidae,Selasphorus,Selasphorus rufus,Rufous hummingbird,Herbivore,
Apodiformes,Trochilidae,Selasphorus,Selasphorus sasin,Allen's hummingbird,Herbivore,
Charadriiformes,Charadriidae,Charadrius,Charadrius vociferus,Killdeer,Carnivore,
Charadriiformes,Laridae,Larus,Larus occidentalis,Western gull,Omnivore,
Charadriiformes,Scolopacidae,Actitis,Actitis macularius,Spotted sandpiper,Carnivore,
Charadriiformes,Scolopacidae,Numenius,Numenius americanus,Long-billed curlew,Carnivore,
Charadriiformes,Scolopacidae,Numenius,Numenius phaeopus,Eurasian whimbrel,Carnivore,
Charadriiformes,Scolopacidae,Tringa,Tringa semipalmata,Willet,Carnivore,
Columbiformes,Columbidae,Columba,Columba livia,Rock dove,Herbivore,*
Columbiformes,Columbidae,Columbina,Columbina passerina,Common ground dove,Herbivore,
Columbiformes,Columbidae,Patagioenas,Patagioenas fasciata,Band-tailed pigeon,Herbivore,
Columbiformes,Columbidae,Streptopelia,Streptopelia decaocto,Eurasian collared dove,Herbivore,*
Columbiformes,Columbidae,Zenaida,Zenaida macroura,Mourning dove,Herbivore,
Cuculiformes,Cuculidae,Geococcyx,Geococcyx californianus,Roadrunner,Insectivore,
Falconiformes,Falconidae,Falco,Falco columbarius,Merlin,Avivore,
Falconiformes,Falconidae,Falco,Falco peregrinus,Peregrine falcon,Avivore,
Falconiformes,Falconidae,Falco,Falco sparverius,American kestrel,Insectivore,
Galliformes,Odontophoridae,Callipepla,Callipepla californica,California quail,Herbivore,
Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,Wild turkey,Omnivore,
Passeriformes,Aegithalidae,Psaltriparus,Psaltriparus minimus,American bushtit,Insectivore,
Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,Horned lark,Omnivore,
Passeriformes,Bombycillidae,Bombycilla,Bombycilla cedrorum,Cedar waxwing,Herbivore,
Passeriformes,Cardinalidae,Passerina,Passerina amoena,Lazuli bunting,Omnivore,
Passeriformes,Cardinalidae,Passerina,Passerina caerulea,Blue grosbeak,Insectivore,
Passeriformes,Cardinalidae,Pheucticus,Pheucticus melanocephalus,Black-headed grosbeak,Omnivore,
Passeriformes,Cardinalidae,Piranga,Piranga ludoviciana,Western tanager,Carnivore,
Passeriformes,Corvidae,Aphelocoma,Aphelocoma californica,California scrub jay,Omnivore,
Passeriformes,Corvidae,Corvus,Corvus brachyrhynchos,American crow,Omnivore,
Passeriformes,Corvidae,Corvus,Corvus corax,Common raven,Omnivore,
Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri,Steller's jay,Omnivore,
Passeriformes,Estrildidae,Lonchura,Lonchura punctulata,Scaly-breasted munia,Herbivore,*
Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus,House finch,Herbivore,
Passeriformes,Fringillidae,Haemorhous,Haemorhous purpureus,Purple finch,Omnivore,
Passeriformes,Fringillidae,Spinus,Spinus lawrencei,Lawrence's goldfinch,Herbivore,
Passeriformes,Fringillidae,Spinus,Spinus pinus,Pine siskin,Herbivore,
Passeriformes,Fringillidae,Spinus,Spinus psaltria,Lesser goldfinch,Herbivore,
Passeriformes,Fringillidae,Spinus,Spinus tristis,American goldfinch,Herbivore,
